"Zona","Entrevistados","SemOcupacao","TrabZonaVive","Ocupados","FPO","Comp_FPO"
1,276,87,57,189,30.2,69.8
2,287,113,87,174,50,50
3,307,122,55,185,29.7,70.3
4,638,217,104,421,24.7,75.3
5,575,140,203,435,46.7,53.3
6,549,212,125,337,37.1,62.9
7,650,241,225,409,55,45
8,521,231,122,290,42.1,57.9
9,504,167,134,337,39.8,60.2
10,386,176,43,210,20.5,79.5
11,358,146,50,212,23.6,76.4
12,489,225,113,264,42.8,57.2
13,378,103,130,275,47.3,52.7
14,343,118,91,225,40.4,59.6
15,474,229,65,245,26.5,73.5
16,342,88,61,254,24,76
17,305,129,49,176,27.8,72.2
18,488,181,106,307,34.5,65.5
19,394,171,47,223,21.1,78.9
20,410,147,41,263,15.6,84.4
21,791,314,115,477,24.1,75.9
22,323,122,43,201,21.4,78.6
23,248,91,16,157,10.2,89.8
24,271,75,46,196,23.5,76.5
25,362,98,73,264,27.7,72.3
26,267,77,38,190,20,80
27,516,172,97,344,28.2,71.8
28,561,254,82,307,26.7,73.3
29,675,221,158,454,34.8,65.2
30,697,267,186,430,43.3,56.7
31,742,245,152,497,30.6,69.4
32,544,195,79,349,22.6,77.4
33,1336,444,302,892,33.9,66.1
34,927,341,166,586,28.3,71.7
35,265,105,22,160,13.8,86.2
36,463,180,74,283,26.1,73.9
37,492,222,61,270,22.6,77.4
38,425,182,64,243,26.3,73.7
39,351,149,39,202,19.3,80.7
40,316,118,53,198,26.8,73.2
41,412,193,48,219,21.9,78.1
42,433,181,107,252,42.5,57.5
43,465,208,21,257,8.2,91.8
44,572,244,101,328,30.8,69.2
45,710,297,125,413,30.3,69.7
46,453,212,82,241,34,66
47,422,226,52,196,26.5,73.5
48,434,207,63,227,27.8,72.2
49,524,166,36,358,10.1,89.9
50,574,217,36,357,10.1,89.9
51,729,256,69,473,14.6,85.4
52,527,141,60,386,15.5,84.5
53,584,247,69,337,20.5,79.5
54,574,168,150,406,36.9,63.1
55,654,256,103,398,25.9,74.1
56,697,163,87,534,16.3,83.7
57,761,298,122,463,26.3,73.7
58,650,243,43,407,10.6,89.4
59,545,200,81,345,23.5,76.5
60,700,295,89,405,22,78
61,676,264,94,412,22.8,77.2
62,239,96,48,143,33.6,66.4
63,1280,436,261,844,30.9,69.1
64,495,179,97,316,30.7,69.3
65,478,204,49,274,17.9,82.1
66,1096,387,148,709,20.9,79.1
67,719,229,160,490,32.7,67.3
68,390,154,50,236,21.2,78.8
69,477,180,90,297,30.3,69.7
70,638,270,99,368,26.9,73.1
71,354,134,75,220,34.1,65.9
72,401,108,112,293,38.2,61.8
73,593,188,108,405,26.7,73.3
74,583,221,80,362,22.1,77.9
75,993,401,230,592,38.9,61.1
76,516,169,75,347,21.6,78.4
77,750,326,161,424,38,62
78,488,173,96,315,30.5,69.5
79,523,171,67,352,19,81
80,1099,510,253,589,43,57
81,454,156,133,298,44.6,55.4
82,648,222,134,426,31.5,68.5
83,881,409,70,472,14.8,85.2
84,875,330,151,545,27.7,72.3
85,860,212,127,648,19.6,80.4
86,597,194,97,403,24.1,75.9
87,861,311,118,550,21.5,78.5
88,416,171,47,245,19.2,80.8
89,639,209,91,430,21.2,78.8
90,350,130,71,220,32.3,67.7
91,318,115,79,203,38.9,61.1
92,349,144,48,205,23.4,76.6
93,443,169,72,274,26.3,73.7
94,852,334,149,518,28.8,71.2
95,1559,605,259,954,27.1,72.9
96,720,286,131,434,30.2,69.8
97,358,179,88,179,49.2,50.8
98,367,130,53,237,22.4,77.6
99,460,184,113,276,40.9,59.1
100,653,245,88,408,21.6,78.4
101,794,388,125,406,30.8,69.2
102,704,331,84,373,22.5,77.5
103,643,273,78,370,21.1,78.9
104,749,312,101,437,23.1,76.9
105,863,415,36,448,8,92
106,502,180,82,322,25.5,74.5
107,353,133,38,220,17.3,82.7
108,295,139,63,156,40.4,59.6
109,673,281,100,392,25.5,74.5
110,458,206,71,252,28.2,71.8
111,419,199,73,220,33.2,66.8
112,339,152,85,187,45.5,54.5
114,407,168,50,239,20.9,79.1
115,403,180,58,223,26,74
116,434,210,62,224,27.7,72.3
117,482,215,74,267,27.7,72.3
118,344,177,61,167,36.5,63.5
120,341,138,45,203,22.2,77.8
121,384,192,57,192,29.7,70.3
122,393,178,44,215,20.5,79.5
123,340,154,43,186,23.1,76.9
124,306,119,36,187,19.3,80.7
125,416,164,77,252,30.6,69.4
126,280,125,35,155,22.6,77.4
127,355,154,46,201,22.9,77.1
128,475,190,85,285,29.8,70.2
129,320,130,41,190,21.6,78.4
131,528,227,77,301,25.6,74.4
132,556,290,79,266,29.7,70.3
133,472,221,73,251,29.1,70.9
134,421,175,94,246,38.2,61.8
135,455,204,57,251,22.7,77.3
136,511,206,81,305,26.6,73.4
137,361,132,71,229,31,69
138,454,195,69,259,26.6,73.4
139,314,153,24,161,14.9,85.1
141,442,216,52,226,23,77
142,413,183,61,230,26.5,73.5
144,378,151,42,227,18.5,81.5
145,644,283,80,361,22.2,77.8
147,409,196,55,213,25.8,74.2
148,390,144,49,246,19.9,80.1
149,382,165,48,217,22.1,77.9
150,509,211,65,298,21.8,78.2
151,366,179,29,187,15.5,84.5
152,358,185,43,173,24.9,75.1
153,382,168,63,214,29.4,70.6
154,457,173,99,284,34.9,65.1
155,384,146,70,238,29.4,70.6
156,378,180,81,198,40.9,59.1
157,346,129,75,217,34.6,65.4
158,524,201,188,323,58.2,41.8
159,340,147,68,193,35.2,64.8
160,477,210,74,267,27.7,72.3
161,529,220,99,309,32,68
